hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset retweets_hashtag_freqs.tsv
coutts	302984766	.803896	.000619	.000770	2	3227	14	18162
covid	45379403	1.112216	.025720	.023125	83	3227	420	18162
covid18	45379403	5.618181	.000309	.000055	1	3227	1	18162
covid_19	45379403	1.002239	.004028	.004019	13	3227	73	18162
covid19	45379403	1.033370	.089556	.086664	289	3227	1574	18162
covid1984	1387010761994682371	5.627272	.000619	.000110	2	3227	2	18162
covid19ab	118166719	.429601	.006197	.014425	20	3227	262	18162
covid19aus	2886667320	.675263	.001859	.002753	6	3227	50	18162
covid19bc	804582780298412032	.625126	.001239	.001982	4	3227	36	18162
covid19diabetes	578601744	5.618181	.000309	.000055	1	3227	1	18162
covid19isairborne	804582780298412032	5.618181	.000309	.000055	1	3227	1	18162
covid19mb	118166719	2.809090	.000309	.000110	1	3227	2	18162
covid19nsw	2886667320	.351136	.000309	.000880	1	3227	16	18162
covid19nz	45379403	5.618181	.000309	.000055	1	3227	1	18162
covid19on	302984766	2.809090	.000309	.000110	1	3227	2	18162
covid19ontario	302984766	.625126	.001239	.001982	4	3227	36	18162
covid19sk	118166719	.936363	.000309	.000330	1	3227	6	18162
covid19uk	45379403	.865734	.000619	.000715	2	3227	13	18162
covidab	118166719	1.872727	.000309	.000165	1	3227	3	18162
covidcult	86010091	5.618181	.000309	.000055	1	3227	1	18162
coviddeaths	45379403	1.404545	.000309	.000220	1	3227	4	18162
covidfree	45379403	5.618181	.000309	.000055	1	3227	1	18162
covidinquest	45379403	.702272	.000309	.000440	1	3227	8	18162
covidiot	614600545	1.876767	.000929	.000495	3	3227	9	18162
covidiots	86010091	.661324	.000619	.000936	2	3227	17	18162
covidisairborne	118166719	.751967	.010226	.013599	33	3227	247	18162
covidisnotover	45379403	.409286	.006197	.015141	20	3227	275	18162
covidisntover	45379403	.340859	.000619	.001816	2	3227	33	18162
covidkathy	45379403	5.618181	.000309	.000055	1	3227	1	18162
covidloves	118166719	5.618181	.000309	.000055	1	3227	1	18162
covidschoolstrikeab	118166719	5.618181	.000309	.000055	1	3227	1	18162
covidvaccination	45379403	3.751515	.000619	.000165	2	3227	3	18162
covidvaccine	302984766	2.345193	.003098	.001321	10	3227	24	18162
covidzero	45379403	.936363	.000309	.000330	1	3227	6	18162
covod19	1921951394	5.618181	.000309	.000055	1	3227	1	18162
cpc	302984766	1.023140	.000619	.000605	2	3227	11	18162
cps	45379403	5.627272	.000619	.000110	2	3227	2	18162
cpsc22	29447428	2.809090	.000309	.000110	1	3227	2	18162
cpswalkout	45379403	2.813636	.000619	.000220	2	3227	4	18162
crackupboom	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
cracow	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
crawler	45379403	5.618181	.000309	.000055	1	3227	1	18162
crazy	29447428	5.618181	.000309	.000055	1	3227	1	18162
crbox	118166719	5.618181	.000309	.000055	1	3227	1	18162
creativity	302984766	1.872727	.000309	.000165	1	3227	3	18162
credit	1387010761994682371	2.809090	.000309	.000110	1	3227	2	18162
cresidaffffff	1229752606714728454	5.618181	.000309	.000055	1	3227	1	18162
crime	1387010761994682371	2.813636	.000619	.000220	2	3227	4	18162
crimebill	1229752606714728454	5.618181	.000309	.000055	1	3227	1	18162
crimenews	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
crimesagainstchildren	1387010761994682371	1.607792	.000619	.000385	2	3227	7	18162
criminal	1387010761994682371	.624242	.000309	.000495	1	3227	9	18162
criminalminds	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
criticschoiceawards	45379403	2.809090	.000309	.000110	1	3227	2	18162
crowdfunding	1308267623327518725	2.809090	.000309	.000110	1	3227	2	18162
crown	1387010761994682371	5.632727	.001549	.000275	5	3227	5	18162
crowncorporation	1387010761994682371	5.630303	.000929	.000165	3	3227	3	18162
crowncorpse	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
crss	1387010761994682371	4.693939	.001549	.000330	5	3227	6	18162
crypto	118166719	1.123636	.000309	.000275	1	3227	5	18162
ct	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
ctu	45379403	5.618181	.000309	.000055	1	3227	1	18162
cultistpm	2886667320	1.872727	.000309	.000165	1	3227	3	18162
cuny	45379403	1.250505	.000619	.000495	2	3227	9	18162
cuonstrike	45379403	5.618181	.000309	.000055	1	3227	1	18162
curling	302984766	2.813636	.000619	.000220	2	3227	4	18162
curtisreeves	614600545	5.618181	.000309	.000055	1	3227	1	18162
cvriskfactors	302984766	5.618181	.000309	.000055	1	3227	1	18162
cyberattack	1229752606714728454	3.751515	.000619	.000165	2	3227	3	18162
cyberattacks	1229752606714728454	2.809090	.000309	.000110	1	3227	2	18162
cyclists	29447428	5.618181	.000309	.000055	1	3227	1	18162
cymruambyth	29447428	5.618181	.000309	.000055	1	3227	1	18162
czarlilliputin	578601744	.936363	.000309	.000330	1	3227	6	18162
dababy	1471037967926018051	5.627272	.000619	.000110	2	3227	2	18162
dac	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
dadjokes	29447428	5.618181	.000309	.000055	1	3227	1	18162
daffodils	29447428	2.809090	.000309	.000110	1	3227	2	18162
dailykickoff	1308267623327518725	5.618181	.000309	.000055	1	3227	1	18162
dailymail	29447428	2.809090	.000309	.000110	1	3227	2	18162
dajshadoll	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
damascus	578601744	3.378181	.000929	.000275	3	3227	5	18162
dance	940778288871542786	1.404545	.000309	.000220	1	3227	4	18162
dancingonice	29447428	1.404545	.000309	.000220	1	3227	4	18162
daniilmedvedev	45379403	5.618181	.000309	.000055	1	3227	1	18162
daretoroam	1471037967926018051	5.618181	.000309	.000055	1	3227	1	18162
darkmoneymanchin	940778288871542786	5.618181	.000309	.000055	1	3227	1	18162
darnitsky	1229752606714728454	5.618181	.000309	.000055	1	3227	1	18162
dauntewright	614600545	2.813636	.000619	.000220	2	3227	4	18162
davehill	29447428	5.618181	.000309	.000055	1	3227	1	18162
day49	86010091	5.618181	.000309	.000055	1	3227	1	18162
dcplc	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
dead	1387010761994682371	4.505454	.001239	.000275	4	3227	5	18162
death	1387010761994682371	1.404545	.000309	.000220	1	3227	4	18162
deathnote	1387010761994682371	5.618181	.000309	.000055	1	3227	1	18162
deathonthenile	1308267623327518725	2.809090	.000309	.000110	1	3227	2	18162
